127.0.0.1 - - [10/Mar/2026:14:14:05 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Mar/2026:14:17:23 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [10/Mar/2026:14:17:23 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2026:14:31:03 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [10/Mar/2026:14:31:05 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:01:48 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:02:06 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:07:02 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:07:34 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:08:13 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:08:46 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:08:55 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [10/Mar/2026:17:10:43 +0900] "GET /JSP_Day1/ex01.jsp HTTP/1.1" 200 86
